"","url","Agency","Job_Category","Description","Location","Last_Date_to_Apply","Qualifications","Salary","Contact_Person","Contact_eMail","Website","Contact_Phone","Start_Date"
"1","http://wfscjobs.tamu.edu/jobs/park-technician-emnrd-5602-tucumcari-new-mexico/","Energy, Minerals, & Natural Resources Department","Full time Positions","Purpose of Position: This position under supervision, will perform manual labor necessary to develop, maintain or protect the natural resources at Ute Lake State Park. This position will maintain facilities and grounds, maintain and operate vehicles and equipment, maintain running water and wastewater systems, collect and verify revenues due to the state, and assist park visitors.","Ute Lake State Park","09/08/2016","MINIMUM QUALIFICATIONS:
High School Diploma or GED and six (6) months of experience in parks, monuments, museums, interpretive/educational ranger, field archeologist or ruins preservationist at a historic site.

Employment Requirements: This position is designated as safety sensitive within the meaning of Omnibus Transportation Employee Testing Act of 1991 and must abide by all provisions of the Federal Omnibus Transportation Testing Act. Employment is subject to pre-employment and random testing, in accordance with all terms and conditions of federal and state law, rules and regulations in relation to alcohol and/or drug testing. Must possess and maintain a CDL Class A driver's license within one (1) year of hire. All applicants for this position must be licensed in accordance with 66-5-59 NMSA 1978, as applicable. You must include your license or certificate number in the license section of the application form.

Statutory Requirements:
All applicants for this position must be licensed in accordance with 66-5-59 NMSA 1978, as applicable. You must include your license or certificate number in the ""license"" section of the application form.

To apply: please visit the State Personnel website at www.spo.state.nm.us to submit your application and transcripts.  Please make sure that you have received an email confirmation stating that you have applied successfully. Please contact the SPO Career Services Bureau at (505) 476-7759 if you do not receive a confirmation email or have trouble during the application process.","$10.19 - $17.73 Hourly $21,195.20 - $36,878.40 Annually","Miche Bove","Miche.Bove@state.nm.us","http://www.spo.state.nm.us/","(505) 476-3374",NA
"2","http://wfscjobs.tamu.edu/jobs/park-technician-emnrd5532-carlsbad-new-mexico/","Energy, Minerals, & Natural Resources Department","Full time Positions","Purpose of Position:
This position, under supervision, will perform manual labor necessary to develop, maintain and protect the natural resources at Brantley Lake State Park. This position will maintain facilities and grounds, maintain and operate vehicles and equipment, maintain running water and wastewater systems, collect and verify revenues due to the state, and assist park visitors.","Brantley Lake State Park","09/08/2016","MINIMUM QUALIFICATIONS:
High School Diploma or GED and six (6) months of experience in parks, monuments, museums, interpretive/educational ranger, field archeologist or ruins preservationist at a historic site.
Employment Requirements: This position is designated as safety sensitive within the meaning of Omnibus Transportation Employee Testing Act of 1991 and must abide by all provisions of the Federal Omnibus Transportation Testing Act. Employment is subject to pre-employment and random testing, in accordance with all terms and conditions of federal and state law, rules and regulations in relation to alcohol and/or drug testing. Must possess and maintain a CDL Class A driver's license within one (1) year of hire. All applicants for this position must be licensed in accordance with
66-5-59 NMSA 1978, as applicable. You must include your license or certificate number in the license section of the application form. Must obtain certification as a Water Sampler Technician 2 through the NM Environment Department within one(1) year of hire, and then maintain on a yearly basis. Weekend/holiday work required. Statutory Requirements: All applicants for this position must be licensed in accordance with 66-5-59 NMSA 1978, as applicable. You must include your license or certificate number in the ""license"" section of the application form.

To apply: please visit the State Personnel website at www.spo.state.nm.us to submit your application and transcripts.  Please make sure that you have received an email confirmation stating that you have applied successfully. Please contact the SPO Career Services Bureau at (505) 476-7759 if you do not receive a confirmation email or have trouble during the application process.","$10.19 - $17.73 Hourly $21,195.20 - $36,878.40 Annually","Miche Bove","Miche.Bove@state.nm.us","http://www.spo.state.nm.us/","(505) 476-3374",NA
"3","http://wfscjobs.tamu.edu/jobs/study-fish-wildlife-natural-resources-in-the-tropics-belize/","Program for Tropical Ecology & Conservation Science - University of Florida","Training","Study Fish, Wildlife, & Natural Resources in the Tropics!

The Program for Tropical Ecology & Conservation Science is offering several courses in Ecology & Conservation during 2017 that provide students the opportunity to earn credit while studying throughout Belize in Central America.

From the Maya Mountains to the Caribbean Sea; Rainforests and Savannas to Mangroves and Coral Reefs; and Jaguars, Scarlet Macaws, and Howler Monkeys to Corals, Grouper, Sharks and Rays, Dolphins, and Sea Turtles -- Students spend their days learning and experiencing fish, wildlife, natural resources, and local cultures with PTECS faculty, local scientists, and indigenous peoples.  Every day is spent in the field examining ecology, conservation, or field methods in these tropical ecosystems!

The courses are open to anyone, and credits can be earned at either undergraduate or graduate levels.  Specific courses include (credits provided through the University of Florida):
- Wildlife Ecology & Conservation in the Tropics (3 credits; 4 - 12 March 2017)
- Marine Ecology & Conservation in the Tropics (3 credits; 5 - 12 May 2017) 
- Field Methods in Ecology & Conservation in the Tropics (5 credits; 13 - 28 May 2017)
- Internships in Ecology & Conservation in the Tropics (Variable credit; any time) 

Detailed Information, Course Syllabi, & Applications can be found at: http://www.wec.ufl.edu/ptecs/. 

Enrollment is open and each course is limited to 10 students.

Program Director: Bill Giuliano – docg@ufl.edu – 352-846-0575
http://www.wec.ufl.edu/ptecs/","Belize, Central America","12/15/2016","A course in biology, ecology, or conservation.","NA","Bill Giuliano","docg@ufl.edu","http://www.wec.ufl.edu/ptecs/","3528460575",NA
"4","http://wfscjobs.tamu.edu/jobs/tutor-texas/","Frog Tutoring","Temporary/Seasonal Positions","We’re looking to hire some of your Wildlife and Fisheries Sciences students to work not just as tutors but also as mentors to students in the Houston community. We have found that when students (K - 12 & College) are tutored by top performing college students, then they will be more receptive and enthusiastic about the subject. I believe this will be a great opportunity for Wildlife and Fisheries Sciences majors to encourage local youths and enhance their resume while making money.

Those interested in learning more can click (FrogTutoring Houston Tutors) or copy and paste this link http://frogtutoring.com/tutors/Houston_TX_Tutors/

Those interested in applying should click (Houston Tutoring Jobs) or copy and paste this link http://frogtutoring.com/jobs/houston-tx

Benefits: 
Great pay- Minimum of $30 per session, tutor chooses which grade level and subjects to tutor, as well as having the opportunity to create their own schedule, get driving compensation, periodic bonus and referral bonus.
",NA,"09/26/2016",NA,NA,NA,NA,"http://frogtutoring.com/jobs/houston-tx",NA,NA
"5","http://wfscjobs.tamu.edu/jobs/director-i-wildlife-division-deputy-director-texas/","TPWD - Wildlife","Full time Positions","Under the direction of the Wildlife Division Director, this position is responsible for four regions, four programs, and a wildlife veterinarian in the Wildlife Division of the Texas Parks and Wildlife Department (TPWD).  Provides strategic leadership and direction to regional directors in West, Central, East and South Texas, and the directors of the Big Game, Small Game, Wildlife Diversity, and Private Lands and Public Hunting programs, as well as a wildlife veterinarian. Leads Division staff in the development of research, management and regulatory programs designed to strengthen the management and conservation of the wildlife and cultural resources of Texas for future generations.  Provides leadership in the development of innovative programs aimed at educating the public about the benefits of participating in natural and cultural resource conservation activities.  Works collaboratively with the Branch Chief of Administration and Research to ensure efficient support of regional and program operations.  Represents the Division at Commission and legislative hearings on wildlife management issues as needed.  Broad oversight of Division fiscal operations and strategic planning.  Works under minimal supervision, with extensive latitude for the use of initiative and independent judgment.  Performs additional duties as assigned.  Complies with all Agency, Division and Branch rules, regulations and procedures.

POSTING NUMBER:  16-00736
WORKING CONDITIONS:
Required to work 8:00 a.m. to 5:00 p.m., Monday through Friday;
Required to work overtime as necessary;
Required to travel 25% with possible overnight stays;
May be required to operate a State vehicle;
Non-smoking environment in State buildings and vehicles.","TPWD Headquarters, 4200 Smith School Road, Austin, TX 78744","09/01/2016"," Qualification Guidelines:
MINIMUM QUALIFICATIONS: 
Education:
Graduation from an accredited college or university with a Bachelor's degree in Wildlife Biology, Wildlife Management, Wildlife Ecology, or closely related field in natural resource conservation.
Experience:
Seven years of progressively responsible experience administering wildlife programs and resources;
Experience in supervision, team building, project management and public speaking,
NOTE: Experience may have occurred concurrently.
Licensure:        
If driving is required, applicant must possess a valid class ""C"" Texas driver's license.
ACCEPTABLE SUBSTITUTIONS: 
Experience:
Graduation from an accredited college or university with a Master's degree Wildlife Biology, Wildlife Management, Wildlife Ecology, or closely related field may substitute for one year of the required experience;
Graduation from an accredited college or university with a PhD in Wildlife Biology, Wildlife Management, Wildlife Ecology, or closely related field may substitute for two years of the required experience.
PREFERRED QUALIFICATIONS: 
Education:       
An advanced degree in a field directly related to natural resource conservation.
 Knowledge, Skills and Abilities:
Knowledge of sound biological practice with respect to management of wildlife resources including game, non-game, threatened and endangered species and the full range of relevant habitat issues on both public and private lands;
Knowledge of wildlife field operations and programmatic functions in Big Game, Small Game, Wildlife Diversity, Private Lands and Public Hunting, and Wildlife Health;    
Knowledge of programmatic functions in Big Game, Small Game, Wildlife Diversity, Private Lands and Public Hunting, and Wildlife Health;    
Knowledge of cultural resource management;
Knowledge of relevant state and federal laws;
Skill in using MS Word, Excel and Outlook;
Skill is effective verbal and written communication;
Skill in developing, implementing and evaluating innovative methods of educating the public on the value of the full range of conservation management practices;
Skill in developing innovative programs for increasing the active participation of all segments of the public in efforts to preserve natural resources;
Skill in leadership and staff development;
Skill in supervision and maintaining effective working relationships with direct reports, co-workers, staff of other agencies, private landowners and full range of stakeholders having interests in natural resource conservation;
Skill in developing and maintaining an effective working team within the Division and participating as an effective member of the TPWD Executive Management Team;
Skill in budget management, justification, monitoring and control;
Skill in the development of an appropriate regulatory framework to support long-range conservation goals, consistent with Commission policy and relevant state law;
Skill in managing several projects simultaneously;
Skill in meeting deadlines
Ability to develop innovative programs to help achieve departmental goals of budgetary self-sufficiency and increased participation by all segments of the population in activities related to natural resource conservation;
Ability to communicate effectively, both verbally and in written presentations to the TPWD Commission, Legislative committees, public interest groups, etc.;
Ability to identify problems, evaluate alternatives and implement effective solutions;
Ability to negotiate among competing interests;
Ability to maintain flexibility and work with frequent interruptions and multiple changing priorities;
Ability to work independently with little or no supervision;
Ability to work as a member of a team;
Ability to make sound judgments on limited data and under considerable pressure;
Ability to conduct work activities in accordance with TPWD safety program.
ADDITIONAL REQUIREMENTS:
In order to be considered for this position, the following information is required:
Submittal of a completed online application;
Work history experience MUST be completed in the online application; 
A scanned copy of official college transcript(s) issued from the registrar must be attached to the online application (if applicable);
Applicants must attach a DD214 or other supporting documentation to the online application to claim Veterans Preference.
NOTE: Resume and professional references may be attached to the online application, but not in place of the completed application.  A skills test may be conducted at time of interview.","$7,783.83 - $9,129.17 Monthly","Clayton Wolf",NA,"http://agency.governmentjobs.com/tpwd/default.cfm?action=viewJob&jobID=1507376","(512) 389-8092",NA
"6","http://wfscjobs.tamu.edu/jobs/wildlife-technician-4-positions-united-kingdom-and-germany/","Loomacres Wildlife Management","Full time Positions","Loomacres Inc. is looking for four (4) wildlife technicians to assist with wildlife mitigation on various projects in the United Kingdom and Germany. 

Working under a lead biologist the candidate will conduct surveys and perform control work.

Start date is negotiable.","United Kingdom and Germany","10/01/2016","Minimum qualifications: An Associate's degree in wildlife biology, wildlife management, range management, biology, ecology, zoology or a closely related field. Previous experience conducting wildlife mitigation, firearms handling and trapping is required. 

Knowledge and skills: Bird identification skills are a must. Candidate must have experience identifying birds by both sight and sound. Candidates with strong writing skills preferred. 

To Apply: Send cover letter, resume and three references to LoomacresJobs@gmail.com","Loomacres Inc. provides a competitive salary with full health benefits.","Shawn Ferdinand","LoomacresJobs@gmail.com","http://www.airportwildlife.com",NA,"09/30/2016"
"7","http://wfscjobs.tamu.edu/jobs/natural-resources-biologist-v-maryland/","MD DNR - Wildlife and Heritage Service","Full time Positions","Wildlife and Heritage Service

This position is with the Wildlife and Heritage Service and will be responsible for managing all Information and Education Programs including the supervision of Information and Education staff and supported programs. The selected candidate will be responsible for managing communications including, press releases, social media, media inquires and website content. The successful candidate will coordinate new and existing hunter recruitment and retention programs and will spend significant time interacting and informing the press, public and peers about the work conducted by this Department of Natural Resources staff. The selected candidate will have the opportunity to work in the field conducting sampling, wildlife population studies, wildlife emergency response and land management.","Annapolis, MD (Anne Arundel County)","09/02/2016","MINIMUM QUALIFICATIONS

Education: A Bachelor’s degree in biology, biochemistry, environmental science, aquaculture, natural science, natural resources management, botany, marine biology, marine ecology or physical oceanography, ichthyology, fisheries management, wildlife management, zoology or a natural resources management related field of study

Experience: Six (6) years of experience in performing professional biological work in the field of natural resources management.

Notes: 

1. Additional professional experience conducting research and analysis in the fields of biology, biochemistry, environmental science, natural science, natural resources management, botany, marine biology, marine ecology, physical oceanography, ichthyology, fisheries management, wildlife management or zoology may be substituted on a year-for-year basis for the required education.

2. Candidates may substitute graduate education beyond a Bachelor's degree from an accredited college or university in a natural resources related field of study as described above at the rate of 15 graduate credits for one year of the required experience for up to two years of the required experience.

3. Candidates may substitute U.S. Armed Forces military service experience as a commissioned officer in the natural resources management and biological sciences classifications or natural resources management and biological sciences specialty codes in the wildlife biology field of work on a year-for-year basis for the required experience and education.   

For education obtained outside of the U.S., you will be required to provide proof of the equivalent American education as determined by a foreign credential evaluation service. If you possess a degree obtained outside of the United States, please submit a detailed, course-by-course evaluation report from one of the U.S. equivalency evaluating members identified at http://www.naces.org/members.htm with the application. 

DESIRED OR PREFERRED QUALIFICATIONS

Strong preference will be given to applicants that possess the following. Include clear and specific information on your application regarding the qualification(s).


Experience implementing information and education programs is preferred for the vacancy with the Wildlife and Heritage Service.
Experience working with the media including social media is preferred for the vacancy with the Wildlife and Heritage Service.
Supervisory experience is preferred for both vacancies.

LICENSES, REGISTRATIONS AND CERTIFICATIONS

Employees in this classification may be assigned duties which require the operation of a motor vehicle. Employees assigned such duties will be required to possess a motor vehicle operator's license valid in the State of Maryland.
SELECTION PROCESS

Please make sure that you provide sufficient information on your application to show that you meet the qualifications for this recruitment, and report all experience and education that is related to this position. You will be required to complete a supplemental questionnaire. Applicants who meet the minimum qualifications will proceed to the next phase of evaluation. Successful candidates will be ranked as Best Qualified, Better Qualified, or Qualified and placed on the employment (eligible) list for at least one year.

This recruitment does not require any additional materials to be uploaded with the exception of the foreign degree evaluation (if applicable). Your qualifications will be assessed based on the information included on your submitted application.

EXAMINATION PROCESS

Your application is part of the examination process. You will be required to complete a supplemental questionnaire. The examination will consist of a rating of your education, training, and experience related to the requirements of this position. The rating will be based on the information provided on your application. Therefore, it is important that you provide all the experience and education that is related to this position completely and accurately.

Resumes will not be accepted in lieu of completing the application.

BENEFITS

STATE OF MARYLAND BENEFITS
FURTHER INSTRUCTIONS

Online application is STRONGLY preferred. If online access is unavailable, you may submit a paper application to:

Department of Natural Resources

Human Resources

580 Taylor Avenue, C-3

Annapolis, MD 21401

Faxed or e-mailed applications will not be accepted. The Human Resource Department is not responsible for applications sent to any other address.
Specific inquiries regarding this recruitment can be directed to Khia Poteat (410) 260-8083
TTY Users: call via Maryland Relay.
We thank our Veterans for their service to our country, and encourage them to apply.
Bilingual applicants are encouraged to apply.
As an equal opportunity employer Maryland is committed to recruiting, retaining and promoting employees who are reflective of the State’s diversity.","$49,899.00 - $80,078.00/year","Khia Poteat","khia.poteat@maryland.gov","http://www.jobaps.com/MD/sup/bulpreview.asp?R1=16&R2=001002&R3=0002","4102608083",NA
"8","http://wfscjobs.tamu.edu/jobs/wildlife-management-biologist-4-positions/","Loomacres Wildlife Management","Full time Positions","Loomacres Inc. is seeking four (4) wildlife biologist to assist with its airport wildlife program. This is a 1 year position with potential for renewal.

Work Description: Working under a lead biologist the candidate will conduct surveys and perform control work on various projects throughout the United States. 

Location: Loomacres has four openings in various locations in the United States. 

Loomacres Wildlife Management is the leading Wildlife Management firm in the US. For more information please visit www.AirportWildlife.com","United States","09/30/2016","Minimum qualifications: A bachelor's degree in wildlife biology, wildlife management, range management, biology, ecology, zoology or a closely related field. Previous experience conducting wildlife mitigation, firearms handling and trapping is required. 

Knowledge and skills: Bird identification skills are a must. Candidate must have experience identifying birds by both sight and sound. Candidates with strong writing skills preferred. 

To Apply: Please send a letter of interest, resume, and at least three references to LoomacresJobs@gmail.com.","Loomacres Inc. provides a competitive salary with full health benefits.","Shawn Ferdinand","LoomacresJobs@gmail.com","http://www.airportwildlife.com",NA,"10/01/2016"
"9","http://wfscjobs.tamu.edu/jobs/part-time-wildlife-technician-new-york/","Loomacres Wildlife Management","Part Time Vacancies","Loomacres Inc. is seeking a Part-time Wildlife Management Technician. 

Work Description: Working under a lead biologist the candidate will conduct surveys and perform nuisance wildlife mitigation. May require extensive travel.

Location: The successful candidate will work out of our Cobleskill, NY office.

Loomacres Wildlife Management is the leading Wildlife Management firm in the US. For more information please visit www.AirportWildlife.com","New York","09/16/2016","Minimum qualifications: A associates degree in wildlife biology, wildlife management, range management, biology, ecology, zoology or a closely related field, PLUS  one year of professional work experience in wildlife management, research or habitat management, OR a bachelor degree in wildlife biology, wildlife management, biology, ecology, zoology, range management or a closely related field.

Knowledge and skills: Bird identification skills are a must. Candidate must have experience identifying birds by both sight and sound. Experience conducting wildlife harassment and control is preferred but not required. Previous experience with firearms and trapping preferred.

To Apply: Please send a letter of interest, resume, and at least three references to loomacresjobs@gmail.com.","Loomacres offers a competitive salary.","Shawn Ferdinand","LoomacresJobs@gmail.com","http://www.airportwildlife.com",NA,"09/19/2016"
"10","http://wfscjobs.tamu.edu/jobs/park-ranger-i-resource-specialist-texas/","TPWD - State Parks","Full time Positions","Under the supervision of the Natural Area Superintendent, this position is responsible for planning, preparing, implementing, and monitoring the natural, cultural and recreational resource conservation activities of Government Canyon State Natural Area.  Assists with management goals relating to natural, cultural, and recreational resources.  Conducts resource inventory, to include endangered avian and karst species. Monitors and ensure compliance in accordance with applicable laws and GIS related technologies.  Performs resource site management and monitors activities to include prescribed fire burns, mechanical vegetation removal, invasive plant management and feral animal control.  Responsible for resource planning activities to include resource surveys and visitor use planning; conducts field work to include management and training of volunteers, working with partner organizations and independent on-site field work.  Provides demonstrations to the public by using a variety of both natural and cultural items, artifacts and/or replicas.  May conduct interpretive tours. May collect daily entrance fees and answer phone calls. Provides information and assistance to park visitors and general public.  Performs facility, grounds and equipment maintenance.  Educates and interprets resources and works with volunteer groups.  Performs site promotion, marketing, volunteer recruitment, develops applicable reports.  Works under moderate supervision, with limited latitude for the use of initiative and independent judgment.  Performs additional duties as assigned.  Complies with all Agency, Division, and Branch rules, regulations, and procedures.

POSTING NUMBER:  16-00699
WORKING CONDITIONS:
Required to work in a public natural area with overnight camping and day use;
Required to work 40 hours per week, includes various schedules with hours other than 8:00 a.m. to 5:00   p.m. and days off other than Saturdays, Sundays and holidays;
Required to perform work outdoors, occasionally in adverse weather conditions;
Required to work in confined spaces, i.e. caves;
Required to work in and around natural, outdoor insects, animals, and poisonous plants;
Required to travel 5% with possible overnight stays;
Must conform to TPWD dress and grooming standards, work rules and safety procedures;
Required to perform manual labor including, lifting supplies and materials up to 50 lbs.;
May be required to operate a State vehicle;
Non-smoking environment in State buildings and vehicles.","Government Canyon State Natural Area, 12861 Galm Road, San Antonio, TX 78254","09/02/2016"," Qualification Guidelines:
MINIMUM QUALIFICATIONS: 
Education:
Graduation from an accredited college or university with a Bachelor's degree.  
 Experience:
None required.
Licensure: 
If driving is required, applicant must possess a valid class ""C"" Texas driver's license;
Must possess or be able to obtain, within one year of employment, the National Wildfire Coordinating Group (NWCG) Fire Fighter Type II certification;
Must possess or be able to obtain within one year of employment, a Non-Commercial Political Pesticide/Herbicide Applicators license issued by the Texas Department of Agriculture.
NOTE:  Retention of position is contingent upon obtaining and maintaining required certifications.
Physical:
Must be able to pass, within one year of employment, the FFTII arduous duty physical fitness standard (walk 3 miles with 45 lb. pack in 45 minutes or less).
NOTE: Retention of position contingent upon meeting and maintaining physical requirements.

ACCEPTABLE SUBSTITUTIONS: 
Education:
One year of experience in interpretation or conducting educational programs may substitute for 30 hours of the required education, with a maximum substitution of 120 semester hours.
PREFERRED QUALIFICATIONS: 
Education:
Graduation from an accredited college or university with a Bachelor's degree in one of the following areas: Park Administration, Recreation & Parks, Wildlife/Fisheries Science, Natural and/or Cultural Resource Conservation, Range Management, Forestry, Biology, Anthropology/Archeology, History, or closely related field.
Experience:
Experience as a supervisor or team leader;
Experience in revenue or budget management;
Experience with customer service;
Experience in natural or cultural resource management, general maintenance, public safety, promotions or public relations or marketing;
Experience caving or experience working in potentially claustrophobic conditions;
Experience with grounds maintenance and/or brush control;
Experience with use of a GPS unit and GIS software.
Licensure:
CPR/First Aid/AED Certification;
ATV Rider Course Certification.
 Knowledge, Skills and Abilities:
Knowledge of natural and cultural resource management;
Knowledge of environmental education;
Knowledge of Karst and Cave Management principles and practices related to endangered species habitat;
Knowledge of invasive plant species management in relation to plant community and habitat restoration;
Knowledge of native plant communities and natural landscapes;
Knowledge of exotic/feral animal management techniques;
Knowledge of general facility and grounds maintenance;
Skill in effective verbal and written communication;
Skill in facility/equipment/grounds repair programs, repair techniques and trail maintenance;
Skill in all phases of prescribed burning;
Skill in utilizing MS Word, Excel, Outlook, Adobe Acrobat and/or ArcVIEW software;
Skill in providing quality customer service in a courteous and professional manner;
Skill in presenting environmental education programs;
Skill in establishing and maintaining effective work relationships with co-workers and work-related contacts;
Skill in using MS Word, Excel and Outlook;
Ability to work independently with little or no supervision;
Ability to work as a member of a team;
Ability to maintain flexibility and work with frequent interruptions and multiple changing priorities;
Ability to train others;
Ability to work well with diverse groups and age ranges;
Ability to plan and conduct natural resource surveys and inventories, compile study data, and prepare reports;
Ability to develop a sound management program for the natural area's natural and cultural resources;
Ability to effectively and properly present resource management topics to staff, volunteers and the general public;
Ability to use personal computers;
Ability to use ARCVIEW and other mapping software;
Ability to use GPS unit and interface with personal computer;
Ability to work in confined spaces;
Ability to perform manual labor including, lifting supplies and materials up to 50 lbs.;
Ability to conduct work activities in accordance with TPWD safety program.

ADDITIONAL REQUIREMENTS:
In order to be considered for this position, the following information is required:
Submittal of a completed online application;
Work history experience MUST be completed in the online application;
A scanned copy of official college transcript(s) issued from the registrar must be attached to the online application (if applicable);
Applicants must attach a DD214 or other supporting documentation to the online application to claim Veterans Preference.
NOTE:  Resume and professional references may be attached to the online application, but not in place of the completed application.  A skills test may be conducted at time of interview.","$3,075.00 Monthly","Chris Holm",NA,"http://agency.governmentjobs.com/tpwd/default.cfm?action=viewJob&jobID=1515376","(210) 688-9055 ext. 2008",NA
